year,name,count,sex,rank
2002,JULIA,11854,woman,1
2002,JAKUB,18013,man,1
2002,WIKTORIA,11356,woman,2
2002,MATEUSZ,10170,man,2
2002,NATALIA,9963,woman,3
2002,KACPER,10046,man,3
2002,ALEKSANDRA,9176,woman,4
2002,MICHAŁ,8354,man,4
2002,WERONIKA,6480,woman,5
2002,DAWID,7713,man,5
2002,ZUZANNA,6213,woman,6
2002,PATRYK,5727,man,6
2002,MARTYNA,5935,woman,7
2002,SZYMON,5285,man,7
2002,KAROLINA,5901,woman,8
2002,KAMIL,5074,man,8
2002,KLAUDIA,5827,woman,9
2002,PIOTR,4828,man,9
2002,PATRYCJA,4949,woman,10
2002,BARTOSZ,4600,man,10
2002,PAULINA,4799,woman,11
2002,DOMINIK,4238,man,11
2002,OLIWIA,4202,woman,12
2002,MACIEJ,3906,man,12
2002,ANNA,3916,woman,13
2002,ŁUKASZ,3906,man,13
2002,KATARZYNA,3817,woman,14
2002,ADRIAN,3783,man,14
2002,DOMINIKA,3527,woman,15
2002,PAWEŁ,3751,man,15
2002,MAGDALENA,3425,woman,16
2002,FILIP,3482,man,16
2002,KINGA,3106,woman,17
2002,MIKOŁAJ,3181,man,17
2002,GABRIELA,2962,woman,18
2002,ADAM,3036,man,18
2002,ALICJA,2703,woman,19
2002,DAMIAN,2961,man,19
2002,EMILIA,2675,woman,20
2002,SEBASTIAN,2940,man,20
2002,MARTA,2580,woman,21
2002,WIKTOR,2809,man,21
2002,AGATA,2281,woman,22
2002,KRYSTIAN,2767,man,22
2002,NIKOLA,2096,woman,23
2002,BARTŁOMIEJ,2760,man,23
2002,KAMILA,2024,woman,24
2002,KRZYSZTOF,2733,man,24
2002,SANDRA,1950,woman,25
2002,MARCIN,2718,man,25
2002,AMELIA,1925,woman,26
2002,HUBERT,2508,man,26
2002,AGNIESZKA,1920,woman,27
2002,WOJCIECH,2463,man,27
2002,MAJA,1900,woman,28
2002,DANIEL,2322,man,28
2002,MAŁGORZATA,1881,woman,29
2002,JAN,2312,man,29
2002,JOANNA,1876,woman,30
2002,TOMASZ,2310,man,30
2002,DARIA,1760,woman,31
2002,KAROL,2141,man,31
2002,MARIA,1756,woman,32
2002,KONRAD,2040,man,32
2002,MONIKA,1644,woman,33
2002,MIŁOSZ,1860,man,33
2002,IZABELA,1615,woman,34
2002,OSKAR,1799,man,34
2002,JUSTYNA,1560,woman,35
2002,MAKSYMILIAN,1663,man,35
2002,ZOFIA,1468,woman,36
2002,RAFAŁ,1449,man,36
2002,ANGELIKA,1294,woman,37
2002,PRZEMYSŁAW,1418,man,37
2002,ROKSANA,1061,woman,38
2002,GRZEGORZ,1415,man,38
2002,EWELINA,999,woman,39
2002,ALEKSANDER,1294,man,39
2002,LAURA,937,woman,40
2002,IGOR,1149,man,40
2002,MILENA,899,woman,41
2002,ARKADIUSZ,1018,man,41
2002,EWA,854,woman,42
2002,MARCEL,1011,man,42
2002,SYLWIA,824,woman,43
2002,RADOSŁAW,993,man,43
2002,OLGA,822,woman,44
2002,ERYK,984,man,44
2002,SARA,797,woman,45
2002,NORBERT,938,man,45
2002,BARBARA,726,woman,46
2002,MAREK,891,man,46
2002,ADRIANNA,716,woman,47
2002,ARTUR,861,man,47
2002,MARCELINA,691,woman,48
2002,NIKODEM,832,man,48
2002,JAGODA,652,woman,49
2002,ROBERT,754,man,49
2002,KORNELIA,607,woman,50
2002,ANDRZEJ,587,man,50
2003,JULIA,12117,woman,1
2003,JAKUB,16426,man,1
2003,WIKTORIA,11884,woman,2
2003,KACPER,11855,man,2
2003,NATALIA,9012,woman,3
2003,MATEUSZ,10307,man,3
2003,ALEKSANDRA,8645,woman,4
2003,MICHAŁ,7526,man,4
2003,OLIWIA,6642,woman,5
2003,DAWID,6318,man,5
2003,WERONIKA,6171,woman,6
2003,SZYMON,5482,man,6
2003,ZUZANNA,5886,woman,7
2003,PATRYK,5320,man,7
2003,MARTYNA,5659,woman,8
2003,KAMIL,4833,man,8
2003,KAROLINA,5322,woman,9
2003,BARTOSZ,4606,man,9
2003,PATRYCJA,4743,woman,10
2003,PIOTR,4504,man,10
2003,KLAUDIA,4552,woman,11
2003,MACIEJ,4242,man,11
2003,PAULINA,3979,woman,12
2003,DOMINIK,3815,man,12
2003,KATARZYNA,3935,woman,13
2003,FILIP,3657,man,13
2003,ANNA,3528,woman,14
2003,PAWEŁ,3535,man,14
2003,KINGA,3258,woman,15
2003,WIKTOR,3450,man,15
2003,DOMINIKA,3147,woman,16
2003,ADRIAN,3442,man,16
2003,MAGDALENA,3053,woman,17
2003,MIKOŁAJ,3147,man,17
2003,AMELIA,2909,woman,18
2003,ŁUKASZ,3113,man,18
2003,GABRIELA,2873,woman,19
2003,BARTŁOMIEJ,2979,man,19
2003,EMILIA,2850,woman,20
2003,ADAM,2916,man,20
2003,MARTA,2694,woman,21
2003,DAMIAN,2683,man,21
2003,ALICJA,2667,woman,22
2003,SEBASTIAN,2515,man,22
2003,NIKOLA,2447,woman,23
2003,KRYSTIAN,2504,man,23
2003,MAJA,2391,woman,24
2003,JAN,2485,man,24
2003,AGATA,2053,woman,25
2003,KRZYSZTOF,2466,man,25
2003,MARIA,1887,woman,26
2003,TOMASZ,2458,man,26
2003,DARIA,1806,woman,27
2003,HUBERT,2427,man,27
2003,MAŁGORZATA,1745,woman,28
2003,MARCIN,2370,man,28
2003,KAMILA,1735,woman,29
2003,OSKAR,2276,man,29
2003,SANDRA,1724,woman,30
